epoch,step,loss
1,0,2.555361270904541
1,1,2.6528491973876953
1,2,2.504754066467285
1,3,2.4691736698150635
1,4,2.6357760429382324
1,5,2.509868621826172
1,6,2.294667959213257
1,7,2.522892475128174
1,8,2.365856170654297
1,9,2.5234527587890625
1,10,2.3680872917175293
1,11,2.1500368118286133
1,12,2.1436147689819336
1,13,2.181007146835327
1,14,2.0873560905456543
1,15,1.9620444774627686
1,16,2.0717735290527344
1,17,1.9626039266586304
1,18,1.8985190391540527
1,19,1.903030276298523
1,20,2.0904996395111084
1,21,2.0216896533966064
1,22,1.9724026918411255
1,23,1.8819632530212402
1,24,1.943964958190918
1,25,1.944966435432434
1,26,2.168858766555786
1,27,2.093224048614502
1,28,1.8413310050964355
1,29,1.8298826217651367
1,30,1.983117699623108
1,31,1.9354329109191895
1,32,1.8481101989746094
1,33,1.7802455425262451
1,34,1.7787917852401733
1,35,1.7617714405059814
1,36,1.8687225580215454
1,37,1.886531114578247
1,38,1.7889349460601807
1,39,1.9121257066726685
1,40,1.6661436557769775
1,41,1.8537580966949463
1,42,1.810957908630371
1,43,1.8330610990524292
1,44,1.776906132698059
1,45,1.724881649017334
1,46,1.8023545742034912
1,47,1.7529126405715942
1,48,1.6886320114135742
1,49,1.6157928705215454
1,50,1.9513559341430664
1,51,1.819044828414917
1,52,1.6063530445098877
1,53,1.6844825744628906
1,54,1.7424135208129883
1,55,1.69086492061615
1,56,1.819747805595398
1,57,1.8087291717529297
1,58,1.8313333988189697
1,59,1.5215375423431396
1,60,1.6844720840454102
1,61,1.7896473407745361
1,62,1.6936538219451904
1,63,1.8260383605957031
1,64,1.7296571731567383
1,65,1.7894107103347778
1,66,1.6563283205032349
1,67,1.5759762525558472
1,68,1.7366441488265991
1,69,1.582627534866333
1,70,1.608945608139038
1,71,1.6212481260299683
1,72,1.6628589630126953
1,73,1.5610462427139282
1,74,1.6821906566619873
1,75,1.7595233917236328
1,76,1.6277258396148682
1,77,1.6744163036346436
1,78,1.6363321542739868
1,79,1.6868948936462402
1,80,1.7433161735534668
1,81,1.6364820003509521
1,82,1.6341867446899414
1,83,1.6335399150848389
1,84,1.8749363422393799
1,85,1.5908682346343994
1,86,1.5794427394866943
1,87,1.7014743089675903
1,88,1.6879808902740479
1,89,1.5955126285552979
1,90,1.6675282716751099
1,91,1.5113506317138672
1,92,1.6580555438995361
1,93,1.5019676685333252
1,94,1.670284628868103
1,95,1.5979199409484863
1,96,1.6770652532577515
1,97,1.3767019510269165
1,98,1.6311662197113037
1,99,1.54409921169281
1,100,1.4989680051803589
1,101,1.6247684955596924
1,102,1.5039560794830322
1,103,1.7154372930526733
1,104,1.5173863172531128
1,105,1.7095940113067627
1,106,1.5646305084228516
1,107,1.6622045040130615
1,108,1.739372968673706
1,109,1.5096850395202637
1,110,1.5509828329086304
1,111,1.6414251327514648
1,112,1.5889043807983398
1,113,1.7361184358596802
1,114,1.4974443912506104
1,115,1.5267006158828735
1,116,1.5705429315567017
1,117,1.5644798278808594
1,118,1.5868043899536133
1,119,1.6406604051589966
1,120,1.6661052703857422
1,121,1.680957317352295
1,122,1.641970157623291
1,123,1.713558554649353
1,124,1.4625675678253174
1,125,1.8948864936828613
1,126,1.5370597839355469
1,127,1.6751933097839355
1,128,1.5223417282104492
1,129,1.5448150634765625
1,130,1.4968523979187012
1,131,1.514260172843933
1,132,1.4610029458999634
1,133,1.3659846782684326
1,134,1.6138477325439453
1,135,1.492661952972412
1,136,1.5606729984283447
1,137,1.4009422063827515
1,138,1.5456914901733398
1,139,1.5805628299713135
1,140,1.4150657653808594
1,141,1.637028694152832
1,142,1.5550603866577148
1,143,1.4885228872299194
1,144,1.3832731246948242
1,145,1.5707392692565918
1,146,1.5253547430038452
1,147,1.422082543373108
1,148,1.4750382900238037
1,149,1.407283067703247
1,150,1.54581618309021
1,151,1.5167385339736938
1,152,1.5051523447036743
1,153,1.4901293516159058
1,154,1.5015075206756592
1,155,1.4289026260375977
1,156,1.319335699081421
1,157,1.4852639436721802
1,158,1.3400635719299316
1,159,1.4186726808547974
1,160,1.3160121440887451
1,161,1.4931964874267578
1,162,1.3639318943023682
1,163,1.452146291732788
1,164,1.4084954261779785
1,165,1.556091070175171
1,166,1.4678821563720703
1,167,1.3548873662948608
1,168,1.4988172054290771
1,169,1.2732279300689697
1,170,1.379093050956726
1,171,1.512014389038086
1,172,1.3545113801956177
1,173,1.392500877380371
1,174,1.3680028915405273
1,175,1.3916982412338257
1,176,1.4345191717147827
1,177,1.2688288688659668
1,178,1.4279069900512695
1,179,1.2808265686035156
1,180,1.4298441410064697
1,181,1.2539441585540771
1,182,1.395931601524353
1,183,1.3295750617980957
1,184,1.4982945919036865
1,185,1.4536659717559814
1,186,1.5703184604644775
1,187,1.5041823387145996
1,188,1.2109966278076172
1,189,1.4219874143600464
1,190,1.4462789297103882
1,191,1.392432689666748
1,192,1.3029791116714478
1,193,1.2908999919891357
1,194,1.354015588760376
1,195,1.3597036600112915
1,196,1.2095715999603271
1,197,1.2778055667877197
1,198,1.3872950077056885
