epoch,block,stage,grad_norm,weight_norm
1,0,stage1,0.9349439585562297,7.9626223472405995
1,1,stage1,0.7106398703529883,8.049871682986558
1,2,stage1,0.46709276342386674,7.967826879550981
1,3,stage2,0.4135807581793261,9.845642101762389
1,4,stage2,0.2915518511987335,11.326532417685772
1,5,stage2,0.20525578115298257,11.267933940906419
1,6,stage3,0.21210660844828716,13.830213417067037
1,7,stage3,0.16519944168905268,16.033645064296877
1,8,stage3,0.18412673973911253,15.996994928445863
15,0,stage1,0.24177399066362912,6.490583935581536
15,1,stage1,0.207481506454227,6.305221440467422
15,2,stage1,0.25376235846082446,6.912473886174962
15,3,stage2,0.34671522146443423,9.783675115573383
15,4,stage2,0.3969937233302571,10.362520548727646
15,5,stage2,0.38482373181286955,9.277249793932127
15,6,stage3,0.501942497170593,12.356075883409435
15,7,stage3,0.513582112987347,12.60623678226563
15,8,stage3,0.30567126829288654,8.015994652744421
30,0,stage1,0.29558985895454576,5.455029960990606
30,1,stage1,0.2909960516165261,5.329550991362336
30,2,stage1,0.3160024939639327,5.8362783718011855
30,3,stage2,0.4172468636099462,8.298439467467052
30,4,stage2,0.45246907146934323,8.917298220315883
30,5,stage2,0.4232549351214647,7.964705334593021
30,6,stage3,0.6095479695271995,10.930799077342803
30,7,stage3,0.6308025299065981,11.33311262102818
30,8,stage3,0.31564866133086816,6.765645157077002
