epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.1545118307455993,0.17505787037037038,2.082881549835205,0.227,0.09972609476841367,29.403451442718506
2,1.943009815664373,0.2636217948717949,1.8490201410293579,0.3008,0.09890738003669028,29.35015892982483
3,1.821811502815312,0.315059650997151,2.2636114685058595,0.2286,0.09755282581475767,29.41002130508423
4,1.7385858555465004,0.3509170227920228,1.7851359922409058,0.3542,0.09567727288213003,29.407378911972046
5,1.6538381399931732,0.38296830484330485,1.7744488040924071,0.3568,0.09330127018922194,29.4068706035614
6,1.5721026699767153,0.4178018162393162,1.8774892190933228,0.345,0.09045084971874737,29.657392978668213
7,1.4791505353742855,0.45931267806267806,1.9144096321105957,0.3652,0.0871572412738697,29.573487043380737
8,1.3700002367340263,0.5006009615384616,1.5477307445526123,0.4644,0.0834565303179429,29.736881971359253
9,1.2665540662586179,0.5434695512820513,1.4883748079299928,0.4836,0.07938926261462365,29.906386375427246
10,1.1710734633978275,0.5754985754985755,1.2712849725723268,0.5418,0.07499999999999998,29.631237745285034
11,1.0925045004937044,0.6073495370370371,1.8585514154434204,0.4526,0.07033683215379001,30.008018732070923
12,1.0418536805699015,0.6294960826210826,1.2431631036758424,0.5638,0.06545084971874737,29.479612350463867
13,0.9863078553452451,0.6483707264957265,1.2838698165893554,0.5706,0.06039558454088796,29.325079202651978
14,0.9452598055883011,0.6647079772079773,1.5445712863922119,0.5058,0.05522642316338268,29.446948289871216
15,0.9130554498091042,0.6771055911680912,0.9618976501464844,0.6604,0.05000000000000001,29.44814944267273
16,0.8739500292006381,0.6924857549857549,0.994309104347229,0.6522,0.04477357683661733,29.735451698303223
17,0.839189270452896,0.7029246794871795,1.320501725769043,0.5878,0.03960441545911203,29.54521894454956
18,0.8120251583237933,0.7164574430199431,1.3668832988739015,0.5494,0.03454915028125263,29.522937059402466
19,0.7756036499626616,0.73005698005698,0.931712425994873,0.6776,0.02966316784621,29.555354118347168
20,0.7455615212774684,0.7400507478632479,0.9086183498382568,0.7006,0.025000000000000012,29.574169397354126
21,0.7129475064257271,0.7517138532763533,0.8684257102966308,0.6986,0.02061073738537635,29.568593502044678
22,0.6769851253413067,0.7651575854700855,0.8663324622154236,0.7054,0.016543469682057107,29.49458384513855
23,0.6482321370361198,0.7728810541310541,0.8168587275505066,0.7246,0.012842758726130301,29.55703592300415
24,0.6163992197425278,0.7859241452991453,0.6669734428405761,0.7712,0.009549150281252635,29.49504256248474
25,0.582553861487625,0.7989894943019943,0.6601578211784362,0.7768,0.006698729810778067,29.846332550048828
26,0.5594319751289835,0.8038194444444444,0.6497264042854309,0.7756,0.004322727117869953,29.464431285858154
27,0.5277350567005299,0.8168625356125356,0.6009241584777832,0.7916,0.002447174185242324,29.610849380493164
28,0.5112366007264183,0.8238292378917379,0.5515635970115662,0.8126,0.0010926199633097158,29.522048950195312
29,0.4892508034352903,0.8308404558404558,0.5381807897567749,0.8134,0.00027390523158633,29.663310289382935
30,0.4825155957471951,0.8338007478632479,0.5303754398345947,0.8166,0.0,29.633920431137085
