epoch,block,stage,grad_norm,weight_norm
1,0,stage1,237.48282421445768,7.817213299907142
1,1,stage1,159.13830462839547,7.9128737615983855
1,2,stage1,121.94400089987515,8.012658118534182
1,3,stage1,85.80402560804986,7.93552115696977
1,4,stage1,59.972643910187294,8.10141370704733
1,5,stage1,43.546865188822004,8.041490608883937
1,6,stage1,30.48513581828651,7.997432177423896
1,7,stage1,22.87726385869071,7.89480945185683
1,8,stage1,16.783676682375518,7.849326047698374
1,9,stage2,15.95269171026427,9.856644967340918
1,10,stage2,11.589352166910869,11.243753521649932
1,11,stage2,8.22754897300961,11.309401619999239
1,12,stage2,5.984187987271489,11.312836531380722
1,13,stage2,4.261624371036902,11.3391830456852
1,14,stage2,3.17056743561299,11.350652102924355
1,15,stage2,2.201197545359687,11.193639849914755
1,16,stage2,1.5890727130032813,11.372250402784527
1,17,stage2,1.1897691078342965,11.310037250002122
1,18,stage3,1.2085102982119762,13.815448981274521
1,19,stage3,0.8878737166507022,15.970663833149967
1,20,stage3,0.6455819899606308,15.978777877805978
1,21,stage3,0.4712045776423729,16.012401066518382
1,22,stage3,0.34458357355270103,16.066481753560733
1,23,stage3,0.2698469593517694,15.98789305393926
1,24,stage3,0.20612975646893314,15.974632180147863
1,25,stage3,0.18479905259583115,16.037861849240144
1,26,stage3,0.2731462289691273,15.998851019612436
15,0,stage1,0.09839558636243767,29.210078718320304
15,1,stage1,0.2328946410315626,19.909986112427863
15,2,stage1,0.11854168162264783,15.234154896246528
15,3,stage1,0.17610146179000027,11.117641801592441
15,4,stage1,0.14795752775824667,8.053831186295362
15,5,stage1,0.24003746522600147,6.957020557701638
15,6,stage1,0.2434646862309286,5.955214566738017
15,7,stage1,0.22620456472493214,5.567472742542404
15,8,stage1,0.27429461339997685,5.829394654766104
15,9,stage2,0.40789210868876863,9.128348794222555
15,10,stage2,0.5072941996088834,10.551648948492675
15,11,stage2,0.44476358144864575,8.870206156058412
15,12,stage2,0.32256558070294333,6.391571795552342
15,13,stage2,0.21704917480442712,4.6360527145114
15,14,stage2,0.13610335370623672,3.266804751247904
15,15,stage2,0.10655081621285477,2.85563193714671
15,16,stage2,0.0822464102351926,2.577034922098569
15,17,stage2,0.08279145317463274,2.5310084851747074
15,18,stage3,0.12318602520085518,3.5128182290794636
15,19,stage3,0.13448096355633413,3.980603156848164
15,20,stage3,0.1376541935283232,3.8203682300582655
15,21,stage3,0.1387994944621473,3.7248334092133035
15,22,stage3,0.1579413249360646,3.993558345965948
15,23,stage3,0.16378300565314685,4.301576019498653
15,24,stage3,0.18989970477564855,4.879764869215832
15,25,stage3,0.2536574685458834,5.62029289812748
15,26,stage3,0.29579340767194673,6.018900348690839
30,0,stage1,0.14320557175984588,15.803792734882627
30,1,stage1,0.26614614861177904,11.10992267186871
30,2,stage1,0.19251813341012347,8.434309518679331
30,3,stage1,0.2129315240753138,6.430611637860531
30,4,stage1,0.22425495463498674,4.870040522725983
30,5,stage1,0.31106583999364384,4.839082400928009
30,6,stage1,0.3611456436015158,4.509397337204563
30,7,stage1,0.4539620133779355,4.544683918217405
30,8,stage1,0.4499661903131041,5.270385582442908
30,9,stage2,0.7434242184171357,8.488186873900103
30,10,stage2,0.9269305792701864,10.182969472558225
30,11,stage2,0.803526105056686,8.641178823867982
30,12,stage2,0.546767414954671,6.115781581084644
30,13,stage2,0.3758154387594682,4.22388355018026
30,14,stage2,0.2352149574845237,2.721139668798155
30,15,stage2,0.17726181422946197,2.2334985147662976
30,16,stage2,0.12399744527390441,1.8660685805835489
30,17,stage2,0.12204277490906244,1.802785986329944
30,18,stage3,0.1977944320785802,2.6650633959359973
30,19,stage3,0.1846988775166521,2.916690653747741
30,20,stage3,0.19725063946901913,2.882133383219594
30,21,stage3,0.13862571149403538,2.626026270840304
30,22,stage3,0.19658374965653827,3.0483117261913026
30,23,stage3,0.2079147479910672,3.2804967106397265
30,24,stage3,0.24928260481448197,3.8816361976913845
30,25,stage3,0.32130635571536587,4.712181116946403
30,26,stage3,0.3464678587304659,5.145600482238681
