epoch,block,stage,grad_norm,weight_norm
1,0,stage1,6.116985059484496,8.002245587848588
1,1,stage1,4.61721868875623,7.8960360565599075
1,2,stage1,3.007040306151012,8.053462678152698
1,3,stage1,1.995687126055219,8.222307834809586
1,4,stage1,1.506792029521693,7.855241359642446
1,5,stage2,1.5258530857190358,9.793090868242881
1,6,stage2,1.0916659663952821,11.334704615341373
1,7,stage2,0.7567463877213321,11.276132706883251
1,8,stage2,0.5340105308483729,11.34783979520235
1,9,stage2,0.40026320313985514,11.249718217499696
1,10,stage3,0.39946858376713873,13.805830091633135
1,11,stage3,0.2981896904469338,16.024721121183944
1,12,stage3,0.22763289616540658,15.961551006549081
1,13,stage3,0.220275557579341,15.956573203340206
1,14,stage3,0.28440957749975665,15.976127935715818
15,0,stage1,0.31682164980795885,6.052561213086505
15,1,stage1,0.22209351937547858,5.100247317282636
15,2,stage1,0.17728778254265842,4.29821190583519
15,3,stage1,0.20970315411459975,4.788878096597601
15,4,stage1,0.2612969358503794,5.719328970863026
15,5,stage2,0.44815715905838055,8.77843508962051
15,6,stage2,0.47492199087792586,9.322941398942985
15,7,stage2,0.40772588109592456,8.380822733912561
15,8,stage2,0.33570192638216084,7.532521753846315
15,9,stage2,0.32407397174486685,7.249848725944029
15,10,stage3,0.47153025090270195,10.536133310330532
15,11,stage3,0.5384053910700426,11.916893234411038
15,12,stage3,0.3973927076107637,8.712994388252342
15,13,stage3,0.3032116480992952,6.819899014483207
15,14,stage3,0.2860834189736723,6.305352120425062
30,0,stage1,0.34688671002082405,5.044921024335729
30,1,stage1,0.2801307221827851,4.24024280914494
30,2,stage1,0.20485103386179762,3.516840406769376
30,3,stage1,0.2394250246520566,4.005703912375222
30,4,stage1,0.2679598931942536,4.8783424851922845
30,5,stage2,0.43880711013978485,7.539118791281104
30,6,stage2,0.5502009344440029,8.132060577782402
30,7,stage2,0.5220014316203045,7.306632141092041
30,8,stage2,0.4448604883006729,6.488463507750217
30,9,stage2,0.40857725930715777,6.2589335872054
30,10,stage3,0.6843655833811442,9.401840240854488
30,11,stage3,0.8965511588027169,10.93869761858423
30,12,stage3,0.5971176612855019,7.705906858949103
30,13,stage3,0.38361531369884905,5.61259159956441
30,14,stage3,0.342443503023818,5.049439714529134
