epoch,block,stage,grad_norm,weight_norm
1,0,stage1,0.6310991003003792,8.002245587848588
1,1,stage1,0.467895133607766,7.8960360565599075
1,2,stage1,0.37370047308106114,8.053462678152698
1,3,stage1,0.2961835463349136,8.222307834809586
1,4,stage1,0.26608326593914505,7.855241359642446
1,5,stage2,0.36169974316286496,9.793090868242881
1,6,stage2,0.3386656906900851,11.334704615341373
1,7,stage2,0.32093681574955607,11.276132706883251
1,8,stage2,0.30155007455358723,11.34783979520235
1,9,stage2,0.3112429668692811,11.249718217499696
1,10,stage3,0.38785105923164626,13.805830091633135
1,11,stage3,0.38314347653541087,16.024721121183944
1,12,stage3,0.3751264795949777,15.961551006549081
1,13,stage3,0.4046737646474663,15.956573203340206
1,14,stage3,0.44861293245476624,15.976127935715818
15,0,stage1,0.1853581874535721,5.200152490287301
15,1,stage1,0.13785051162202427,4.036988661188129
15,2,stage1,0.20265757901469897,4.4641787750514785
15,3,stage1,0.14124907325550323,4.0064082669375445
15,4,stage1,0.2575487319193382,5.610068955703142
15,5,stage2,0.3710586581452937,8.576185330245936
15,6,stage2,0.27671422164158427,6.696609140050611
15,7,stage2,0.3173071903222566,7.542099099029399
15,8,stage2,0.29611446187393076,6.919206160727784
15,9,stage2,0.2817903996065465,6.893667781889445
15,10,stage3,0.46267402184495793,10.954618996942068
15,11,stage3,0.4313450832864526,10.042223101087314
15,12,stage3,0.42337092337209786,9.457944842411054
15,13,stage3,0.39664716150541746,9.142430627615488
15,14,stage3,0.31995123750599636,6.890550401071885
30,0,stage1,0.2700929731547412,4.197513507323715
30,1,stage1,0.212256493314082,3.300296689192403
30,2,stage1,0.22894032862610983,3.69531546788167
30,3,stage1,0.21776299815110264,3.398448023286509
30,4,stage1,0.31047601911139644,4.758347153963682
30,5,stage2,0.42690826138424043,7.202086003437013
30,6,stage2,0.3625813581983782,5.646701910155892
30,7,stage2,0.406262617648857,6.331500474168389
30,8,stage2,0.3742932524214172,5.880251465045971
30,9,stage2,0.3836921880242706,5.9373556019139615
30,10,stage3,0.6191111897592471,9.506300994916847
30,11,stage3,0.6503417652553147,8.944016221920581
30,12,stage3,0.6503145786309007,8.505002176776767
30,13,stage3,0.5884698821206775,7.958740410371338
30,14,stage3,0.363307905757395,5.814989110751137
