epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.206204260176743,0.14983974358974358,2.197298864746094,0.1814,0.09972609476841367,27.83529305458069
2,1.9183617001585132,0.26758368945868943,2.104924452972412,0.1972,0.09890738003669028,27.826083183288574
3,1.8346357834644806,0.30255074786324787,1.849614793395996,0.3106,0.09755282581475767,27.855103492736816
4,1.7918866122210468,0.3224269943019943,2.0251165199279786,0.267,0.09567727288213003,27.76910424232483
5,1.759694840493705,0.3372952279202279,1.86639859085083,0.3132,0.09330127018922194,27.924767017364502
6,1.7251733266390288,0.35645922364672367,1.880928094291687,0.3244,0.09045084971874737,27.906542778015137
7,1.6919455857698056,0.3696581196581197,1.7975499483108521,0.3482,0.0871572412738697,28.0652015209198
8,1.6562336245153704,0.38238960113960113,1.7479936534881593,0.3666,0.0834565303179429,27.951244354248047
9,1.618219388176573,0.4049145299145299,1.733700102043152,0.3704,0.07938926261462365,28.054729223251343
10,1.5791252899034072,0.41544248575498577,1.7082729526519775,0.3926,0.07499999999999998,27.851598262786865
11,1.5369366485508758,0.43382745726495725,1.943032378768921,0.3348,0.07033683215379001,27.981278896331787
12,1.490854399496334,0.45621883903133903,1.996397858428955,0.3512,0.06545084971874737,28.182642459869385
13,1.4463895515159324,0.47055288461538464,2.606645665359497,0.2832,0.06039558454088796,27.830275535583496
14,1.3842821589901917,0.4950587606837607,1.5356807468414306,0.4502,0.05522642316338268,27.694947242736816
15,1.3277720375957651,0.5137775997150997,2.1578505683898928,0.378,0.05000000000000001,27.856884241104126
16,1.2494278210520404,0.5480769230769231,1.7060590175628663,0.4822,0.04477357683661733,27.633687496185303
17,1.1827389463739857,0.5773904914529915,1.8927037199020387,0.4166,0.03960441545911203,27.76897954940796
18,1.1133812443483249,0.601829594017094,1.1472582069396973,0.5904,0.03454915028125263,27.87646174430847
19,1.0696716795959365,0.6173878205128205,1.7450083459854127,0.4716,0.02966316784621,27.972718238830566
20,1.0170210630465777,0.6367521367521367,1.4359189926147462,0.528,0.025000000000000012,28.056920289993286
21,0.9696218675358004,0.6539574430199431,1.2737595045089722,0.5696,0.02061073738537635,27.899024963378906
22,0.9318504029529386,0.6701834045584045,1.0938539673805237,0.6168,0.016543469682057107,27.83524775505066
23,0.8852987696981838,0.6851406695156695,0.8673283320426941,0.6924,0.012842758726130301,27.828964710235596
24,0.8452015809523754,0.6978276353276354,0.91799135389328,0.6742,0.009549150281252635,27.889944791793823
25,0.8071976285374742,0.7156784188034188,0.9456991681098939,0.681,0.006698729810778067,27.779658794403076
26,0.7738635266608322,0.7246483262108262,0.8232561086654663,0.7106,0.004322727117869953,28.10791540145874
27,0.739892704364581,0.7369346509971509,0.7305990983009338,0.7452,0.002447174185242324,27.86487317085266
28,0.7156441670197707,0.7446358618233618,0.7115659156799317,0.7464,0.0010926199633097158,27.89708113670349
29,0.6887949955599261,0.7564325142450142,0.6849213989257813,0.7594,0.00027390523158633,28.002081394195557
30,0.6873524995610925,0.7578792735042735,0.6803163303375244,0.7628,0.0,27.84435224533081
