epoch,train_loss,train_acc,val_loss,val_acc,lr,time_s
1,2.3418826109323745,0.13831018518518517,2.8383614971160886,0.1918,0.09972609476841367,30.02069354057312
2,1.6892619995649722,0.35953080484330485,1.541715587425232,0.4386,0.09890738003669028,30.124435901641846
3,1.2454653706645693,0.5491675569800569,2.275373002243042,0.383,0.09755282581475767,29.27672576904297
4,0.9507841868617936,0.6630831552706553,1.115381252861023,0.63,0.09567727288213003,29.548298120498657
5,0.7782605346451458,0.7296563390313391,0.8802068599700927,0.714,0.09330127018922194,29.59861135482788
6,0.6791581806973515,0.7641782407407407,0.8210538212776184,0.7302,0.09045084971874737,29.49751114845276
7,0.6194554638658833,0.7843883547008547,0.700632097530365,0.7686,0.0871572412738697,29.725730657577515
8,0.5779011762379921,0.8000356125356125,1.1322966449737548,0.6524,0.0834565303179429,29.655115127563477
9,0.5448791857628401,0.812767094017094,0.6261304327011108,0.7936,0.07938926261462365,29.610389471054077
10,0.5154889251431848,0.8226050569800569,0.7995556303024292,0.7384,0.07499999999999998,29.616443157196045
11,0.4956857248758658,0.8301949786324786,0.8395200568199158,0.7492,0.07033683215379001,29.60554003715515
12,0.4722903074532153,0.8370058760683761,0.5224132794380189,0.824,0.06545084971874737,29.696990728378296
13,0.45039065390230926,0.8445290242165242,0.5848508661270142,0.7982,0.06039558454088796,30.42392897605896
14,0.4269569358255109,0.8534766737891738,0.7005692349433899,0.7648,0.05522642316338268,30.305314302444458
15,0.40918654988803754,0.8577056623931624,0.6765960200309753,0.7816,0.05000000000000001,29.83601665496826
16,0.38146212837125504,0.8687900641025641,0.46987861151695254,0.8474,0.04477357683661733,29.68667244911194
17,0.35805022623124627,0.8758457977207977,0.48800920276641846,0.8364,0.03960441545911203,29.72710871696472
18,0.3363145611904286,0.883613782051282,0.5374154273986816,0.8236,0.03454915028125263,29.50339984893799
19,0.315622719774219,0.8918269230769231,0.6446713842391968,0.7938,0.02966316784621,29.64922547340393
20,0.2905893004008508,0.8991052350427351,0.3905819531440735,0.8724,0.025000000000000012,29.73802614212036
21,0.26361002571392605,0.9084757834757835,0.39730229206085205,0.873,0.02061073738537635,29.71237015724182
22,0.23614463717424633,0.9185140669515669,0.4541944333076477,0.8568,0.016543469682057107,29.787314414978027
23,0.21561924731120086,0.9252136752136753,0.359615083694458,0.8836,0.012842758726130301,29.690158367156982
24,0.1863955903978769,0.9364983974358975,0.333692991399765,0.8936,0.009549150281252635,29.688904523849487
25,0.1616925503899399,0.9439547720797721,0.3256488517284393,0.896,0.006698729810778067,29.92453908920288
26,0.13295689136044592,0.9559962606837606,0.31739812397956846,0.8986,0.004322727117869953,30.31715154647827
27,0.11356139247785946,0.9619613603988604,0.3093284795761108,0.902,0.002447174185242324,30.30003333091736
28,0.0978782704031026,0.9674367877492878,0.2873358401298523,0.9084,0.0010926199633097158,29.691436290740967
29,0.08838582080271509,0.9713541666666666,0.28559623861312866,0.9092,0.00027390523158633,29.863200902938843
30,0.08406147142166426,0.9728009259259259,0.28391838397979735,0.91,0.0,29.817604780197144
