depth,variant,block,stage,position,act_rms,grad_norm,weight_norm,relative
20,resnet,0,stage1,0.0,1.1021336764097214,0.37911956327674307,7.945661418984063,0.04771403452592843
20,resnet,1,stage1,0.125,1.4244645684957504,0.2534901455174109,7.956949509812726,0.031857704413582114
20,resnet,2,stage1,0.25,1.757374420762062,0.21879208871042238,8.045517653270176,0.027194283592366773
20,resnet,3,stage2,0.375,1.4475392252206802,0.3318113590816837,9.771483984609226,0.0339571102612776
20,resnet,4,stage2,0.5,1.68685744702816,0.2782025020047703,11.243458011349468,0.024743499884461236
20,resnet,5,stage2,0.625,1.8766128867864609,0.2618107592752336,11.385334057637655,0.02299543939157432
20,resnet,6,stage3,0.75,1.515422523021698,0.3443949749908881,13.862675047062497,0.024843327411318457
20,resnet,7,stage3,0.875,1.7584362775087357,0.3234122587757771,16.022837790840363,0.020184455649963542
20,resnet,8,stage3,1.0,1.9697111397981644,0.36635122222436645,15.957476374605534,0.02295796738934057
20,plain,0,stage1,0.0,0.7034053057432175,0.9133732231024789,7.945661418984063,0.11495244699455913
20,plain,1,stage1,0.125,0.7404180765151978,0.5980715325705811,7.956949509812726,0.07516341932709553
20,plain,2,stage1,0.25,0.7137408554553986,0.44098339461238667,8.045517653270176,0.054811065442525606
20,plain,3,stage2,0.375,0.6952718645334244,0.4159065892195322,9.771483984609226,0.04256329845851606
20,plain,4,stage2,0.5,0.7247281968593597,0.2923284288008416,11.243458011349468,0.025999868412881245
20,plain,5,stage2,0.625,0.6950597614049911,0.20943202742168024,11.385334057637655,0.018394895253968098
20,plain,6,stage3,0.75,0.7061804309487343,0.21426166288600756,13.862675047062497,0.015456011351244192
20,plain,7,stage3,0.875,0.7088562399148941,0.16898312606461913,16.022837790840363,0.01054639186082382
20,plain,8,stage3,1.0,0.70529455691576,0.17814226284421236,15.957476374605534,0.011163561120961773
32,resnet,0,stage1,0.0,1.091062143445015,0.7351166729644463,7.961041480705871,0.0923392592220568
