depth,variant,epoch,ratio
20,plain,1,10.30051098523277
20,plain,15,1.029554330043539
20,plain,30,1.1034733204708953
20,resnet,1,2.5086724186427087
20,resnet,15,1.0110810182851242
20,resnet,30,0.9763724033844332
32,plain,1,47.40666577672723
32,plain,15,0.9381275960776041
32,plain,30,1.1328799624155235
32,resnet,1,3.7300703775822845
32,resnet,15,0.644840441913292
32,resnet,30,0.9266084889914592
56,plain,1,3274.504817365447
56,plain,15,0.038806739534188214
56,plain,30,0.09950527874392309
56,resnet,1,7.681543549053013
56,resnet,15,0.915964961868686
56,resnet,30,0.8824464673393544
