alpha,fit_acc,test_acc,epochs,volatility
0.0,0.8316222222222223,0.7953,28.0,5.9336
0.25,0.8497777777777777,0.814,26.0,4.0792
0.5,0.9014,0.8557,22.0,4.102399999999999
0.75,0.9618888888888888,0.9013,12.0,2.3623999999999987
1.0,0.9787333333333332,0.9092,9.0,2.8112000000000004
